date,new cases NL,log(NL new cases / last week),total cases NL,log(NL Total cases),new cases AU,log(AU new cases / last week),total cases AU,log(AU Total cases),new cases DE,log(DE new cases / last week),total cases DE,log(DE Total cases)
29/3/20,,,,,,,,,,,,
28/3/20,1159,3.79,9762,3.99,362,3.36,3167,3.5,6294,4.5,"48,582",4.69
27/3/20,1172,3.75,8603,3.93,374,3.32,2805,3.45,5780,4.45,42288,4.63
26/3/20,1019,3.7,7431,3.87,285,3.27,2431,3.39,4954,4.41,"36,508",4.56
25/3/20,852,3.64,6412,3.81,430,3.23,2146,3.33,4118,4.37,"31,554",4.5
24/3/20,811,3.59,5560,3.75,364,3.13,1716,3.23,4764,4.31,27436,4.44
23/3/20,545,3.52,4749,3.68,281,3.02,1352,3.13,4062,4.22,22672,4.36
22/3/20,573,3.49,4204,3.62,196,2.92,1071,3.03,1948,4.14,18610,4.27
21/3/20,637,3.43,3631,3.56,168,2.83,875,2.94,2705,4.11,16662,4.22
20/3/20,534,3.34,2994,3.48,140,2.74,707,2.85,2958,4.04,13957,4.14
19/3/20,409,3.27,2460,3.39,114,2.64,567,2.75,2801,3.94,10999,4.04
18/3/20,346,3.19,2051,3.31,77,2.53,453,2.66,1042,3.8,8198,3.91
17/3/20,292,3.12,1705,3.23,78,2.45,376,2.58,1144,3.76,7156,3.85
16/3/20,278,3.04,1413,3.15,50,2.34,298,2.47,1174,3.69,6012,3.78
15/3/20,176,2.94,1135,3.05,50,2.24,248,2.39,1043,3.6,4838,3.68
14/3/20,155,2.89,959,2.98,42,2.13,198,2.3,733,3.49,3795,3.58
13/3/20,190,2.83,804,2.91,29,2,156,2.19,693,3.4,3062,3.49
12/3/20,111,2.73,614,2.79,15,1.88,127,2.1,485,3.31,2369,3.37
11/3/20,121,2.67,503,2.7,20,1.85,112,2.05,424,3.22,1884,3.28
10/3/20,61,2.56,382,2.58,12,1.77,92,1.96,348,3.1,1460,3.16
9/3/20,56,2.48,321,2.51,7,1.71,80,1.9,265,2.98,1112,3.05
8/3/20,77,2.4,265,2.42,10,1.67,73,1.86,163,2.86,847,2.93
7/3/20,60,2.24,188,2.27,6,1.58,63,1.8,150,2.79,684,2.84
6/3/20,46,2.06,128,2.11,5,1.53,57,1.76,185,2.68,534,2.73
5/3/20,44,1.85,82,1.91,11,1.46,52,1.72,109,2.51,349,2.54
4/3/20,15,1.45,38,1.58,8,1.26,41,1.61,52,2.34,240,2.38
3/3/20,6,1.11,24,1.38,4,1.04,33,1.52,38,2.23,188,2.27
2/3/20,3,0.85,10,1,3,0.85,29,1.46,33,2.13,150,2.18
1/3/20,1,0.6,1,0,1,0.6,26,1.41,51,2.07,117,2.07
29/2/20,1,0.48,1,0,2,0.6,25,1.4,13,1.82,66,1.82
28/2/20,1,0.3,1,0,0,0.78,23,1.36,27,1.72,53,1.72
27/2/20,1,0,1,0,0,0.9,23,1.36,5,1.41,26,1.41
26/2/20,0,0,0,0,1,0.9,23,1.36,3,1.32,21,1.32
25/2/20,0,0,0,0,0,0.85,22,1.34,2,1.26,18,1.26
24/2/20,0,0,0,0,0,0.85,22,1.34,16,1.2,16,1.2
23/2/20,0,0,0,0,1,0.85,22,1.34,0,0,0,0
22/2/20,0,0,0,0,4,0.78,21,1.32,0,0,0,0
21/2/20,0,0,0,0,2,0.3,17,1.23,0,0,0,0
20/2/20,0,0,0,0,0,0.48,15,1.18,0,0,0,0
19/2/20,0,0,0,0,0,0.7,15,1.18,0,0,0,0
18/2/20,0,0,0,0,0,0.78,15,1.18,0,0,0,0
17/2/20,0,0,0,0,0,0.9,15,1.18,0,0,0,0
16/2/20,0,0,0,0,0,1,15,1.18,0,0,0,0
15/2/20,0,0,0,0,0,1.04,15,1.18,0,0,0,0
14/2/20,0,0,0,0,3,1.18,15,1.18,0,0,0,0
13/2/20,0,0,0,0,2,1.08,12,1.08,0,0,0,0
12/2/20,0,0,0,0,1,1,10,1,0,0,0,0
11/2/20,0,0,0,0,2,0.95,9,0.95,0,0,0,0
10/2/20,0,0,0,0,2,0.85,7,0.85,0,0,0,0
9/2/20,0,0,0,0,1,0.7,5,0.7,0,0,0,0
8/2/20,0,0,0,0,4,0.6,4,0.6,0,0,0,0