doubling time,log_new_cases,log_total_cases
total_dt2_cases,8.05,8.579354876
total_dt2_cases,7.90,8.428839879
total_dt2_cases,7.75,8.278324881
total_dt2_cases,7.59,8.127809883
total_dt2_cases,7.44,7.977294885
total_dt2_cases,7.29,7.826779887
total_dt2_cases,7.14,7.676264889
total_dt2_cases,6.99,7.525749892
total_dt2_cases,6.84,7.375234894
total_dt2_cases,6.69,7.224719896
total_dt2_cases,6.54,7.074204898
total_dt2_cases,6.39,6.9236899
total_dt2_cases,6.24,6.773174902
total_dt2_cases,6.09,6.622659905
total_dt2_cases,5.94,6.472144907
total_dt2_cases,5.79,6.321629909
total_dt2_cases,5.64,6.171114911
total_dt2_cases,5.49,6.020599913
total_dt2_cases,5.34,5.870084915
total_dt2_cases,5.19,5.719569918
total_dt2_cases,5.04,5.56905492
total_dt2_cases,4.89,5.418539922
total_dt2_cases,4.73,5.268024924
total_dt2_cases,4.58,5.117509926
total_dt2_cases,4.43,4.966994928
total_dt2_cases,4.28,4.816479931
total_dt2_cases,4.13,4.665964933
total_dt2_cases,3.98,4.515449935
total_dt2_cases,3.83,4.364934937
total_dt2_cases,3.68,4.214419939
total_dt2_cases,3.53,4.063904941
total_dt2_cases,3.38,3.913389944
total_dt2_cases,3.23,3.762874946
total_dt2_cases,3.08,3.612359948
total_dt2_cases,2.93,3.46184495
total_dt2_cases,2.78,3.311329952
total_dt2_cases,2.63,3.160814954
total_dt2_cases,2.48,3.010299957
total_dt2_cases,2.33,2.859784959
total_dt2_cases,2.18,2.709269961
total_dt2_cases,2.03,2.558754963
total_dt2_cases,1.87,2.408239965
total_dt2_cases,1.72,2.257724967
total_dt2_cases,1.57,2.10720997
total_dt2_cases,1.42,1.956694972
total_dt2_cases,1.27,1.806179974
total_dt2_cases,1.12,1.655664976
total_dt2_cases,0.97,1.505149978
total_dt2_cases,0.82,1.35463498
total_dt2_cases,0.67,1.204119983
total_dt2_cases,0.52,1.053604985
total_dt2_cases,0.37,0.903089987
total_dt2_cases,0.22,0.752574989
total_dt2_cases,0.07,0.602059991
total_dt2_cases,-0.08,0.451544993
total_dt2_cases,-0.23,0.301029996
total_dt2_cases,0.15,0.150514998
total_dt3_cases,5.034068038,5.719569918
total_dt3_cases,4.933724706,5.619226586
total_dt3_cases,4.833381375,5.518883254
total_dt3_cases,4.733038043,5.418539922
total_dt3_cases,4.632694711,5.31819659
total_dt3_cases,4.532351379,5.217853258
total_dt3_cases,4.432008047,5.117509926
total_dt3_cases,4.331664715,5.017166594
total_dt3_cases,4.231321383,4.916823263
total_dt3_cases,4.130978051,4.816479931
total_dt3_cases,4.030634719,4.716136599
total_dt3_cases,3.930291388,4.615793267
total_dt3_cases,3.829948056,4.515449935
total_dt3_cases,3.729604724,4.415106603
total_dt3_cases,3.629261392,4.314763271
total_dt3_cases,3.52891806,4.214419939
total_dt3_cases,3.428574728,4.114076607
total_dt3_cases,3.328231396,4.013733276
total_dt3_cases,3.227888064,3.913389944
total_dt3_cases,3.127544732,3.813046612
total_dt3_cases,3.027201401,3.71270328
total_dt3_cases,2.926858069,3.612359948
total_dt3_cases,2.826514737,3.512016616
total_dt3_cases,2.726171405,3.411673284
total_dt3_cases,2.625828073,3.311329952
total_dt3_cases,2.525484741,3.21098662
total_dt3_cases,2.425141409,3.110643289
total_dt3_cases,2.324798077,3.010299957
total_dt3_cases,2.224454745,2.909956625
total_dt3_cases,2.124111414,2.809613293
total_dt3_cases,2.023768082,2.709269961
total_dt3_cases,1.92342475,2.608926629
total_dt3_cases,1.823081418,2.508583297
total_dt3_cases,1.722738086,2.408239965
total_dt3_cases,1.622394754,2.307896633
total_dt3_cases,1.522051422,2.207553302
total_dt3_cases,1.42170809,2.10720997
total_dt3_cases,1.321364758,2.006866638
total_dt3_cases,1.221021427,1.906523306
total_dt3_cases,1.120678095,1.806179974
total_dt3_cases,1.020334763,1.705836642
total_dt3_cases,0.919991431,1.60549331
total_dt3_cases,0.819648099,1.505149978
total_dt3_cases,0.719304767,1.404806646
total_dt3_cases,0.618961435,1.304463315
total_dt3_cases,0.518618103,1.204119983
total_dt3_cases,0.418274771,1.103776651
total_dt3_cases,0.31793144,1.003433319
total_dt3_cases,0.217588108,0.903089987
total_dt3_cases,0.117244776,0.802746655
total_dt3_cases,0.016901444,0.702403323
total_dt3_cases,-0.083441888,0.602059991
total_dt3_cases,-0.18378522,0.501716659
total_dt3_cases,-0.284128552,0.401373328
total_dt3_cases,-0.384471884,0.301029996
total_dt3_cases,-0.484815216,0.200686664
total_dt3_cases,0.100343332,0.100343332
total_dt4_cases,3.491357403,4.289677438
total_dt4_cases,3.416099904,4.214419939
total_dt4_cases,3.340842405,4.13916244
total_dt4_cases,3.265584906,4.063904941
total_dt4_cases,3.190327407,3.988647443
total_dt4_cases,3.115069908,3.913389944
total_dt4_cases,3.03981241,3.838132445
total_dt4_cases,2.964554911,3.762874946
total_dt4_cases,2.889297412,3.687617447
total_dt4_cases,2.814039913,3.612359948
total_dt4_cases,2.738782414,3.537102449
total_dt4_cases,2.663524915,3.46184495
total_dt4_cases,2.588267416,3.386587451
total_dt4_cases,2.513009917,3.311329952
total_dt4_cases,2.437752418,3.236072453
total_dt4_cases,2.362494919,3.160814954
total_dt4_cases,2.28723742,3.085557456
total_dt4_cases,2.211979921,3.010299957
total_dt4_cases,2.136722423,2.935042458
total_dt4_cases,2.061464924,2.859784959
total_dt4_cases,1.986207425,2.78452746
total_dt4_cases,1.910949926,2.709269961
total_dt4_cases,1.835692427,2.634012462
total_dt4_cases,1.760434928,2.558754963
total_dt4_cases,1.685177429,2.483497464
total_dt4_cases,1.60991993,2.408239965
total_dt4_cases,1.534662431,2.332982466
total_dt4_cases,1.459404932,2.257724967
total_dt4_cases,1.384147433,2.182467469
total_dt4_cases,1.308889934,2.10720997
total_dt4_cases,1.233632436,2.031952471
total_dt4_cases,1.158374937,1.956694972
total_dt4_cases,1.083117438,1.881437473
total_dt4_cases,1.007859939,1.806179974
total_dt4_cases,0.93260244,1.730922475
total_dt4_cases,0.857344941,1.655664976
total_dt4_cases,0.782087442,1.580407477
total_dt4_cases,0.706829943,1.505149978
total_dt4_cases,0.631572444,1.429892479
total_dt4_cases,0.556314945,1.35463498
total_dt4_cases,0.481057446,1.279377482
total_dt4_cases,0.405799947,1.204119983
total_dt4_cases,0.330542449,1.128862484
total_dt4_cases,0.25528495,1.053604985
total_dt4_cases,0.180027451,0.978347486
total_dt4_cases,0.104769952,0.903089987
total_dt4_cases,0.029512453,0.827832488
total_dt4_cases,-0.045745046,0.752574989
total_dt4_cases,-0.121002545,0.67731749
total_dt4_cases,-0.196260044,0.602059991
total_dt4_cases,-0.271517543,0.526802492
total_dt4_cases,-0.346775042,0.451544993
total_dt4_cases,-0.422032541,0.376287495
total_dt4_cases,-0.49729004,0.301029996
total_dt4_cases,-0.572547538,0.225772497
total_dt4_cases,-0.647805037,0.150514998
total_dt4_cases,0.075257499,0.075257499