date,new deaths,total deaths,log(deaths / last week),log_total_deaths
29/3/20,756,10779,3.72,4.032578472
28/3/20,889,10023,3.72,4.00099773
27/3/20,919,9134,3.71,3.960661007
26/3/20,712,8215,3.68,3.914607568
25/3/20,683,7503,3.66,3.875234946
24/3/20,743,6820,3.64,3.833784375
23/3/20,601,6077,3.59,3.783689236
22/3/20,651,5476,3.56,3.738463439
21/3/20,793,4825,3.53,3.683497318
20/3/20,627,4032,3.44,3.605520523
19/3/20,427,3405,3.38,3.532117116
18/3/20,475,2978,3.33,3.473924693
17/3/20,345,2503,3.27,3.39846085
16/3/20,349,2158,3.23,3.33405144
15/3/20,368,1809,3.16,3.257438567
14/3/20,175,1441,3.08,3.158663981
13/3/20,250,1266,3.03,3.102433706
12/3/20,189,1016,2.94,3.006893708
11/3/20,196,827,2.86,2.91750551
10/3/20,168,631,2.74,2.800029359
9/3/20,97,463,2.61,2.665580991
8/3/20,133,366,2.51,2.563481085
7/3/20,36,233,2.31,2.367355921
6/3/20,49,197,2.25,2.294466226
5/3/20,41,148,2.12,2.170261715
4/3/20,28,107,1.98,2.029383778
3/3/20,27,79,1.83,1.897627091
2/3/20,11,52,1.65,1.716003344
1/3/20,12,41,1.58,1.612783857
29/2/20,8,29,1.43,1.462397998
28/2/20,4,21,1.30,1.322219295
27/2/20,5,17,1.23,1.230448921
26/2/20,1,12,1.08,1.079181246
25/2/20,4,11,1.04,1.041392685
24/2/20,4,7,0.85,0.84509804
23/2/20,1,3,0.48,0.477121255
22/2/20,1,2,0.30,0.301029996
21/2/20,1,1,0.00,0
20/2/20,0,0,0.00,0
19/2/20,0,0,0.00,0
18/2/20,0,0,0.00,0
17/2/20,0,0,0.00,0
16/2/20,0,0,0.00,0
15/2/20,0,0,0.00,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,